,Main Road,,2,2,,Freehold,1130 sqft,,
26.5 Lac ,2951,visakhapatnam,879 sqft,Ready to Move,Ground out of 4,New Property,Unfurnished,East,Main Road,,2,1,1 Covered,Freehold,,,
30 Lac ,3571,visakhapatnam,800 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,East,,Siri Vinayaka Residency,2,,,Freehold,,,
Call for Price,,visakhapatnam,1158 sqft,Ready to Move,2 out of 8,Resale,Furnished,West,"Pool, Garden/Park, Main Road",Novus Florence Village,2,2,1 Covered,Power Of Attorney,,,
70 Lac ,6763,visakhapatnam,830 sqft,Ready to Move,4 out of 5,Resale,Unfurnished,West,Garden/Park,,2,2,,Freehold,,,
51 Lac ,4286,visakhapatnam,1000 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,North,Main Road,,2,1,,Freehold,,,
55 Lac ,3929,visakhapatnam,1150 sqft,Ready to Move,4 out of 5,Resale,Unfurnished,,,Sri Goda Delight,2,2,,,,,
2.30 Cr ,10560,visakhapatnam,2000 sqft,Ready to Move,3 out of 5,New Property,Semi-Furnished,North - West,Main Road,,3,3,2 Covered,Freehold,,,
37 Lac ,3217,visakhapatnam,1150 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,East,,,2,,,Freehold,,,
80 Lac ,5161,visakhapatnam,1300 sqft,Ready to Move,1 out of 5,Resale,Unfurnished,,,creative madhura,3,1,,,,,
40 Lac ,3534,visakhapatnam,1047 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,North,,,2,2,,Freehold,,,
1.25 Cr ,6983,visakhapatnam,1700 sqft,Ready to Move,3 out of 5,Resale,Furnished,South,"Garden/Park, Main Road",,3,2,1 Covered,Freehold,,,
38 Lac ,4222,visakhapatnam,900 sqft,Ready to Move,2 out of 4,New Property,Unfurnished,East,Main Road,,2,1,,Freehold,,,
1.10 Cr ,7586,visakhapatnam,1450 sqft,Ready to Move,5 out of 5,New Property,Unfurnished,West,Pool,,3,2,,Freehold,,,
48.6 Lac ,3600,visakhapatnam,1350 sqft,Ready to Move,1 out of 5,New Property,Unfurnished,West,"Garden/Park, Pool, Main Road",Sardar Nest Phase 3 Gajuwaka,2,2,1 Covered,Freehold,,,
33 Lac ,3267,visakhapatnam,900 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,,"Garden/Park, Main Road",,2,1,,,,,
35 Lac ,4167,visakhapatnam,840 sqft,Ready to Move,1 out of 3,Resale,Unfurnished,South,,,2,1,,Freehold,,,
47.3 Lac ,3500,visakhapatnam,1350 sqft,Ready to Move,2 out of 5,New Property,Unfurnished,West,"Garden/Park, Pool, Main Road",Sardar Nest Phase 3 Gajuwaka,2,2,1 Covered,Freehold,,,
60 Lac ,6522,visakhapatnam,,Ready to Move,3 out of 4,Resale,Semi-Furnished,East,,,2,,1 Covered,Freehold,920 sqft,,
60 Lac ,6316,visakhapatnam,950 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,East,Main Road,,2,2,,Freehold,,,
70 Lac ,6364,visakhapatnam,900 sqft,Ready to Move,1 out of 5,New Property,Semi-Furnished,West,,,2,2,,Freehold,,,
45 Lac ,4000,visakhapatnam,,Ready to Move,1 out of 5,Resale,Unfurnished,East,,Sree Balaji Arcade,2,,,,1125 sqft,,
47 Lac ,3357,visakhapatnam,1150 sqft,Ready to Move,4 out of 5,Resale,Unfurnished,West,Garden/Park,Sri Goda Delight,2,2,1 Covered,Freehold,,,
37.4 Lac ,4179,visakhapatnam,720 sqft,Ready to Move,4 out of 8,Resale,Unfurnished,East,"Garden/Park, Main Road",Pavan Mitra Apartments,2,1,,Freehold,,,
50 Lac ,4444,visakhapatnam,,Ready to Move,2 out of 4,Resale,Semi-Furnished,,,,2,,,,1125 sqft,,
55 Lac ,4681,visakhapatnam,1175 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,North,Main Road,,2,2,,Freehold,,,
9.90 Cr ,60000,visakhapatnam,,Ready to Move,Ground out of 5,Resale,Semi-Furnished,,,,3,,,,1650 sqft,,
1.60 Cr ,9143,visakhapatnam,267 sqyrd,Ready to Move,3 out of 5,Resale,Unfurnished,,,,3,2,,,,,
45 Lac ,4286,visakhapatnam,1050 sqft,Ready to Move,9 out of 10,Resale,Unfurnished,East,Garden/Park,MVV and MK Park,2,1,,Freehold,,,
69 Lac ,,visakhapatnam,1520 sqft,Ready to Move,4 out of 5,Resale,Unfurnished,West,Garden/Park,Sai PVR Heights,2,2,,Freehold,,,
42 Lac ,,visakhapatnam,1100 sqft,Ready to Move,2 out of 5,,Unfurnished,,,,2,,,,,,
55 Lac ,5238,visakhapatnam,60 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,East,,Owned,2,1,,Freehold,,,
32 Lac ,3048,visakhapatnam,,Ready to Move,Ground out of 4,Resale,Unfurnished,West,,,2,1,,,1050 sqft,,
40 Lac ,6154,visakhapatnam,,Ready to Move,1 out of 2,Resale,Furnished,,,,2,,,,650 sqft,,
Call for Price,,visakhapatnam,900 sqft,Ready to Move,4 out of 5,Resale,Semi-Furnished,,,,2,1,,,,,
52 Lac ,4483,visakhapatnam,1100 sqft,Ready to Move,2 out of 4,Resale,Unfurnished,,,,2,1,,,,,
32 Lac ,3200,visakhapatnam,1000 sqft,Ready to Move,3 out of 5,New Property,Semi-Furnished,,,,2,1,,,,,
67.5 Lac ,7500,visakhapatnam,750 sqft,Ready to Move,Ground out of 4,Resale,Unfurnished,East,Main Road,,2,2,,Freehold,,,
75.6 Lac ,7000,visakhapatnam,950 sqft,Ready to Move,1 out of 5,Resale,Semi-Furnished,East,,,2,,1 Open,Freehold,,,
40.5 Lac ,4219,visakhapatnam,,Ready to Move,2 out of 5,Resale,Unfurnished,North,Main Road,,2,1,1 Covered,Freehold,960 sqft,,
32.4 Lac ,3860,visakhapatnam,,Ready to Move,,New Property,Furnished,,,Vaibhav Aavaas,2,,1 Covered,,840 sqft,,
31.9 Lac ,3988,visakhapatnam,,Ready to Move,,New Property,Furnished,,,Vaibhav Aavaas,2,,1 Covered,,800 sqft,,
38 Lac ,3800,visakhapatnam,,Ready to Move,,New Property,Furnished,,,Vaibhav Aavaas,2,,1 Covered,,1000 sqft,,
26 Lac ,,visakhapatnam,940 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,,,,2,1,,,,,
36.5 Lac ,3963,visakhapatnam,,Ready to Move,,New Property,Furnished,,,Vaibhav Aavaas,2,,1 Covered,,920 sqft,,
52 Lac ,4333,visakhapatnam,864 sqft,Ready to Move,1 out of 5,Resale,Semi-Furnished,North,Main Road,,2,2,1 Covered,Freehold,,,
29 Lac ,2762,visakhapatnam,,Ready to Move,3 out of 6,Resale,Semi-Furnished,,,,2,,,,1050 sqft,,
50 Lac ,3774,visakhapatnam,,Ready to Move,5 out of 6,Resale,Semi-Furnished,,,,2,2,,,1325 sqft,,
Call for Price,,visakhapatnam,800 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,East,"Pool, Garden/Park, Main Road",Sita Rama Gardens,2,2,,Freehold,,,
40 Lac ,4444,visakhapatnam,700 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,East,Main Road,,2,1,,Freehold,,,
50 Lac ,4545,visakhapatnam,950 sqft,Ready to Move,2 out of 5,Resale,Unfurnished,,,,2,1,,,,,
75 Lac ,5282,visakhapatnam,1120 sqft,Ready to Move,5 out of 5,Resale,Unfurnished,North,Main Road,,2,1,,Freehold,,,
55 Lac ,4135,visakhapatnam,1070 sqft,Ready to Move,3 out of 5,Resale,Unfurnished,East,Main Road,,2,2,1 Covered,Freehold,,,
